Model: prop_elecbox_10 | File: dt1_00_strm_0(1).ymap.xml | X: 522.8071 | Y: -828.1434
Model: prop_elecbox_10 | File: dt1_00_strm_0(1).ymap.xml | X: 513.4073 | Y: -998.8262
Model: prop_elecbox_10 | File: dt1_00_strm_0(2).ymap.xml | X: 522.8071 | Y: -828.1434
Model: prop_elecbox_10 | File: dt1_00_strm_0(2).ymap.xml | X: 513.4073 | Y: -998.8262
Model: prop_elecbox_10 | File: dt1_00_strm_0(3).ymap.xml | X: 522.8071 | Y: -828.1434
Model: prop_elecbox_10 | File: dt1_00_strm_0(3).ymap.xml | X: 513.4073 | Y: -998.8262
Model: prop_elecbox_10 | File: dt1_00_strm_0.ymap.xml | X: 522.8071 | Y: -828.1434
Model: prop_elecbox_10 | File: dt1_00_strm_0.ymap.xml | X: 513.4073 | Y: -998.8262
Model: prop_elecbox_10 | File: dt1_rd1_strm_1(1).ymap.xml | X: -108.0699 | Y: -895.4175
Model: prop_elecbox_10 | File: dt1_rd1_strm_1(2).ymap.xml | X: -108.0699 | Y: -895.4175
Model: prop_elecbox_10 | File: dt1_rd1_strm_1(3).ymap.xml | X: -108.0699 | Y: -895.4175
Model: prop_elecbox_10 | File: dt1_rd1_strm_1.ymap.xml | X: -108.0699 | Y: -895.4175
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(1).ymap.xml | X: 115.2221 | Y: -739.0902
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(1).ymap.xml | X: 133.5388 | Y: -767.2635
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(1).ymap.xml | X: 159.0043 | Y: -747.4305
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(1).ymap.xml | X: 170.1647 | Y: -766.5588
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(1).ymap.xml | X: 216.5042 | Y: -652.0584
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(2).ymap.xml | X: 115.2221 | Y: -739.0902
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(2).ymap.xml | X: 133.5388 | Y: -767.2635
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(2).ymap.xml | X: 159.0043 | Y: -747.4305
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(2).ymap.xml | X: 170.1647 | Y: -766.5588
Model: prop_elecbox_10 | File: dt1_rd1_strm_4(2).ymap.xml | X: 216.5042 | Y: -652.0584
